"jetz name"	"freq.numbers"	"min.prey"	"max.prey"	"mass"	"masslog"	"min.prey.log"	"max.prey.log"	"estimated_min_prey"	"estimated_max_prey"
"69"	"Clanga_pomarina"	1	"small birds"	"150"	1359.40999999999	7.21480606107203	NA	5.01063529409626	72.8504730535352	711.392367664277
"70"	"Aquila_rapax"	1	"125"	"2000"	2236.06	7.71247066754646	4.8283137373023	7.60090245954208	124.918186349533	1047.3318616545
"71"	"Aquila_verreauxii"	2	"453"	"1300"	4195.00000000001	8.34164861890131	6.11589212548303	7.17011954344963	247.005780857988	1707.84597728314
"72"	"Hieraaetus_wahlbergi"	2	"83"	"1300"	639.990000000003	6.46145255123165	4.4188406077966	7.17011954344963	32.2044454269307	396.124992622139
"73"	"Ardea_cinerea"	2	"small birds"	"690"	1443	7.27447955877387	NA	6.5366915975913	77.7166021528397	745.161833849512
"75"	"Ardea_melanocephala"	1	NA	NA	1060	6.96602418710611	NA	NA	55.6364563152883	586.325341975897
"76"	"Ardea_purpurea"	2	"small birds"	"small birds"	1064.48	6.97024169599358	NA	NA	55.8912927854197	588.250340966836
"81"	"Asio_flammeus"	2	NA	"340"	322.610000000001	5.77644416335079	NA	5.82894561761021	15.3306805623123	232.607435524416
"83"	"Asio_otus"	2	NA	"324"	296.57	5.69228327826318	NA	5.78074351579233	13.9944752724651	217.879838023722
"84"	"Asio_stygius"	1	NA	"150"	565	6.33682573114644	NA	5.01063529409626	28.136389278988	359.556678031483
"91"	"Aviceda_subcristata"	2	"10.8"	"840"	322.65	5.77656814438185	2.37954613413017	6.73340189183736	15.3327402398802	232.629849744886
"95"	"Botaurus_stellaris"	2	NA	NA	1319.44999999999	7.18497026208407	NA	NA	70.5329598536933	695.086448226334
"96"	"Bubo_africanus"	2	"160"	"376"	685.000000000003	6.52941883826223	5.07517381523383	5.92958914338989	34.6656790685887	417.611725119455
"97"	"Bubo_ascalaphus"	2	NA	NA	2099.99999999999	7.64969262371151	NA	NA	116.70334127458	997.458985528185
"98"	"Bubo_bengalensis"	2	NA	"3600"	1100	7.00306545878646	NA	8.1886891244442	57.9149268341928	603.449713396686
"99"	"Bubo_bubo"	2	"medium birds"	"1440"	2668.50999999999	7.88927554319062	NA	7.27239839257005	151.295955984129	1201.60213066399
"100"	"Bubo_capensis"	2	NA	"470"	1118.64000000001	7.0198689407326	NA	6.1527326947041	58.9790769906324	611.382086737543
"101"	"Bubo_cinerascens"	2	"small birds"	"small birds"	499.990000000001	6.21458809822219	NA	NA	24.6459304068196	326.970739135342
"102"	"Bubo_coromandus"	1	NA	"300"	1392.15	7.23860459370951	NA	5.7037824746562	74.7535116198146	724.672603012984
"103"	"Bubo_lacteus"	2	"8"	"4000"	2114.94	7.65678172228365	2.07944154167984	8.29404964010203	117.603246496922	1002.96968681629
"104"	"Bubo_magellanicus"	2	NA	NA	1166.38	7.06166021433098	NA	NA	61.7112439656678	631.565477139679
"105"	"Bubo_nipalensis"	0	NA	"1110"	1396.42	7.241667097672	NA	7.01211529430638	75.0019864655935	726.3994717285
"106"	"Bubo_philippensis"	1	"small birds"	"small birds"	1392.15	7.23860459370951	NA	NA	74.7535116198146	724.672603012984
"107"	"Bubo_poensis"	2	NA	NA	654.939999999999	6.484543628386	NA	NA	33.0203847930475	403.2980296246
"108"	"Bubo_scandiacus"	2	"small birds"	"480"	2028.75999999999	7.61518004796021	NA	6.17378610390194	112.419643575125	971.060144614616
"109"	"Bubo_shelleyi"	2	NA	NA	1257	7.13648320859025	NA	NA	66.9229149050318	669.380634811528
"110"	"Bubo_sumatranus"	2	NA	"1480"	1525	7.32974968904151	NA	7.29979736675816	82.5131327330264	777.867720834953
"111"	"Bubo_virginianus"	2	"medium birds"	"1500"	1575.7	7.362454896968	NA	7.3132203870903	85.4896704357591	797.892958331807
"113"	"Bubulcus_ibis"	2	"small birds"	"small birds"	365.950000000001	5.90249671204724	NA	NA	17.5743722571141	256.548629879914
"114"	"Buceros_bicornis"	2	"small birds"	"small birds"	2790.78999999999	7.93407998885671	NA	NA	158.822344053268	1244.18049437326
"117"	"Geranoaetus_albicaudatus"	2	"small passerines"	"85"	885.000000000001	6.78558764500793	NA	4.44265125649032	45.7560793563697	509.608316680315
"118"	"Buteo_albigula"	1	NA	NA	524.990000000001	6.26337921479117	NA	NA	25.9839735411924	339.60743978113
"119"	"Buteo_albonotatus"	2	NA	"175"	745.919999999998	6.61461835584739	NA	5.16478597392351	38.0183524025603	446.20023990331
"120"	"Buteo_augur"	2	"20"	"453"	1099.18	7.00231972625161	2.99573227355399	6.11589212548303	57.8681477690569	603.100072513324
"121"	"Buteo_auguralis"	2	NA	NA	663.919999999998	6.49816166029019	NA	NA	33.5112452235567	407.589089536877
"122"	"Buteo_brachypterus"	2	"small birds"	"small birds"	510.999999999998	6.2363695902037	NA	NA	25.2345318575276	332.552889053333
"123"	"Buteo_brachyurus"	0	"10"	"145"	496.009999999998	6.20659608781201	2.30258509299405	4.97673374242057	24.4334222786119	324.94613206927
"125"	"Buteo_galapagoensis"	2	"22.6"	"58.5"	1137.44	7.03653540218117	3.11794990627824	4.06902675423781	60.0538633697041	619.352773000414
"126"	"Buteo_hemilasius"	2	"20"	"1400"	1358.89	7.21442346900615	2.99573227355399	7.24422751560335	72.8202782848797	711.180870536537
"128"	"Buteo_lagopus"	2	"20"	"480"	949.760000000004	6.85620932109891	2.99573227355399	6.17378610390194	49.3949189224679	538.360529197401
"129"	"Parabuteo_leucorrhous"	2	NA	NA	290	5.66988092298052	NA	NA	13.6588588147023	214.119218543548
"130"	"Buteo_lineatus"	2	NA	"140"	603.720000000002	6.40311051429123	NA	4.9416424226093	30.2315880743073	378.564814584152
