"Match_jetz_birdlife"	"Sp.Scien.jetz"	"Sp.Scien.hbw"	"Total_cells"	"mass"	"Accipiter_albogularis"	"Accipiter_badius"	"Accipiter_bicolor"	"Accipiter_brachyurus"	"Accipiter_castanilius"	"Accipiter_striatus"	"Accipiter_cirrocephalus"	"Accipiter_collaris"	"Accipiter_cooperii"	"Accipiter_erythrauchen"	"Accipiter_erythropus"	"Accipiter_fasciatus"	"Accipiter_gentilis"	"Accipiter_griseiceps"	"Accipiter_gularis"	"Accipiter_gundlachi"	"Accipiter_henicogrammus"	"Accipiter_henstii"	"Accipiter_madagascariensis"	"Accipiter_melanochlamys"	"Accipiter_melanoleucus"	"Accipiter_meyerianus"	"Accipiter_minullus"	"Accipiter_nisus"	"Accipiter_novaehollandiae"	"Accipiter_ovampensis"	"Accipiter_poliogaster"	"Accipiter_rhodogaster"	"Accipiter_rufitorques"	"Accipiter_rufiventris"	"Accipiter_superciliosus"	"Accipiter_tachiro"	"Accipiter_toussenelii"	"Accipiter_trivirgatus"	"Accipiter_virgatus"	"Berenicornis_comatus"	"Ailuroedus_buccoides"	"Aquila_adalberti"	"Aquila_africana"	"Aquila_chrysaetos"	"Clanga_clanga"	"Aquila_fasciata"	"Aquila_gurneyi"	"Aquila_heliaca"	"Aquila_nipalensis"	"Clanga_pomarina"	"Aquila_rapax"	"Aquila_verreauxii"	"Hieraaetus_wahlbergi"	"Ardea_cinerea"	"Ardea_melanocephala"	"Ardea_purpurea"	"Asio_flammeus"	"Asio_otus"	"Asio_stygius"	"Aviceda_subcristata"	"Botaurus_stellaris"	"Bubo_africanus"	"Bubo_ascalaphus"	"Bubo_bengalensis"	"Bubo_bubo"	"Bubo_capensis"	"Bubo_cinerascens"	"Bubo_coromandus"	"Bubo_lacteus"	"Bubo_magellanicus"	"Bubo_nipalensis"	"Bubo_philippensis"	"Bubo_poensis"	"Bubo_scandiacus"	"Bubo_shelleyi"	"Bubo_sumatranus"	"Bubo_virginianus"	"Bubulcus_ibis"	"Buceros_bicornis"	"Geranoaetus_albicaudatus"	"Buteo_albigula"	"Buteo_albonotatus"	"Buteo_augur"	"Buteo_auguralis"	"Buteo_brachypterus"	"Buteo_brachyurus"	"Buteo_galapagoensis"	"Buteo_hemilasius"	"Buteo_lagopus"	"Parabuteo_leucorrhous"	"Buteo_lineatus"	"Buteo_platypterus"	"Geranoaetus_polyosoma"	"Buteo_regalis"	"Buteo_ridgwayi"	"Buteo_rufinus"	"Buteo_rufofuscus"	"Buteo_solitarius"	"Buteo_swainsoni"	"Buteo_ventralis"	"Buteogallus_urubitinga"	"Carpococcyx_renauldi"	"Ardea_alba"	"Catharacta_antarctica"	"Catharacta_maccormicki"	"Catharacta_skua"	"Centropus_anselli"	"Centropus_senegalensis"	"Ciconia_boyciana"	"Circus_aeruginosus"	"Circus_approximans"	"Circus_assimilis"	"Circus_buffoni"	"Circus_cinereus"	"Circus_cyaneus"	"Circus_macrourus"	"Circus_maillardi"	"Circus_maurus"	"Circus_melanoleucos"	"Circus_pygargus"	"Circus_ranivorus"	"Circus_spilonotus"	"Corvus_albus"	"Corvus_bennetti"	"Corvus_brachyrhynchos"	"Corvus_corax"	"Corvus_coronoides"	"Corvus_mellori"	"Corvus_moneduloides"	"Corvus_orru"	"Corvus_ruficollis"	"Corvus_tasmanicus"	"Cracticus_cassicus"	"Cracticus_mentalis"	"Cracticus_nigrogularis"	"Cracticus_quoyi"	"Cracticus_torquatus"	"Dacelo_gaudichaud"	"Dacelo_leachii"	"Dacelo_novaeguineae"	"Dendrocitta_formosae"	"Dendrocitta_vagabunda"	"Dicrurus_bracteatus"	"Dicrurus_caerulescens"	"Egretta_garzetta"	"Elanoides_forficatus"	"Elanus_caeruleus"	"Elanus_leucurus"	"Ephippiorhynchus_asiaticus"	"Erythrotriorchis_buergersi"	"Erythrotriorchis_radiatus"	"Falco_araeus"	"Falco_berigora"	"Falco_biarmicus"	"Falco_cenchroides"	"Falco_cherrug"	"Falco_chicquera"	"Falco_columbarius"	"Falco_concolor"	"Falco_cuvierii"	"Falco_deiroleucus"	"Falco_dickinsoni"	"Falco_eleonorae"	"Falco_fasciinucha"	"Falco_femoralis"	"Falco_hypoleucos"	"Falco_jugger"	"Falco_longipennis"	"Falco_mexicanus"	"Falco_moluccensis"	"Falco_novaeseelandiae"	"Falco_peregrinus"	"Falco_rufigularis"	"Falco_rupicoloides"	"Falco_rusticolus"	"Falco_severus"	"Falco_sparverius"	"Falco_subbuteo"	"Falco_subniger"	"Falco_tinnunculus"	"Geococcyx_californianus"	"Geranoaetus_melanoleucus"	"Glaucidium_bolivianum"	"Glaucidium_brasilianum"	"Glaucidium_brodiei"	"Glaucidium_californicum"	"Glaucidium_capense"	"Glaucidium_castaneum"	"Glaucidium_jardinii"	"Glaucidium_nana"	"Glaucidium_palmarum"	"Glaucidium_passerinum"	"Glaucidium_peruanum"	"Gymnorhina_tibicen"	"Gypohierax_angolensis"	"Haliaeetus_albicilla"	"Haliaeetus_leucocephalus"	"Haliaeetus_leucogaster"	"Haliaeetus_leucoryphus"	"Haliaeetus_pelagicus"	"Haliaeetus_sanfordi"	"Haliastur_sphenurus"	"Hamirostra_melanosternon"	"Harpagus_diodon"	"Harpia_harpyja"	"Stephanoaetus_coronatus"	"Buteogallus_solitarius"	"Harpyopsis_novaeguineae"	"Henicopernis_infuscatus"	"Henicopernis_longicauda"	"Hieraaetus_ayresii"	"Hieraaetus_morphnoides"	"Hieraaetus_pennatus"	"Aquila_spilogaster"	"Ictinaetus_malaiensis"	"Ixobrychus_minutus"	"Ketupa_zeylonensis"	"Lanius_bucephalus"	"Lanius_collurio"	"Lanius_isabellinus"	"Lanius_schach"	"Lanius_senator"	"Larus_argentatus"	"Larus_audouinii"	"Larus_delawarensis"	"Larus_dominicanus"	"Larus_hyperboreus"	"Larus_marinus"	"Larus_occidentalis"	"Leptoptilos_crumenifer"	"Pseudastur_polionotus"	"Lophoictinia_isura"	"Lophotriorchis_kienerii"	"Macheiramphus_alcinus"	"Macronectes_giganteus"	"Megatriorchis_doriae"	"Melierax_canorus"	"Micronisus_gabar"	"Melierax_metabates"	"Melierax_poliopterus"	"Micrastur_gilvicollis"	"Micrastur_mirandollei"	"Micrastur_ruficollis"	"Micrastur_semitorquatus"	"Milvus_migrans"	"Milvus_milvus"	"Otus_gurneyi"	"Nesasio_solomonensis"	"Ninox_boobook"	"Ninox_connivens"	"Ninox_novaeseelandiae"	"Ninox_rudolfi"	"Ninox_rufa"	"Ninox_scutulata"	"Ninox_strenua"	"Nisaetus_alboniger"	"Nisaetus_bartelsi"	"Nisaetus_cirrhatus"	"Nisaetus_lanceolatus"	"Nisaetus_nanus"	"Nisaetus_nipalensis"	"Nisaetus_philippensis"	"Ptilopsis_leucotis"	"Parabuteo_unicinctus"	"Pernis_ptilorhynchus"	"Phodilus_badius"	"Pithecophaga_jefferyi"	"Polemaetus_bellicosus"	"Polyboroides_typus"	"Asio_clamator"	"Ptilopsis_granti"	"Pulsatrix_koeniswaldiana"	"Pulsatrix_melanota"	"Pulsatrix_perspicillata"	"Spilornis_elgini"	"Spilornis_klossi"	"Spizaetus_isidori"	"Spizaetus_melanoleucus"	"Spizaetus_ornatus"	"Spizaetus_tyrannus"	"Spiziapteryx_circumcincta"	"Stercorarius_parasiticus"	"Stercorarius_pomarinus"	"Strepera_fuliginosa"	"Strepera_versicolor"	"Strix_aluco"	"Strix_butleri"	"Strix_chacoensis"	"Strix_uralensis"	"Strix_fulvescens"	"Strix_hylophila"	"Strix_leptogrammica"	"Ciccaba_nigrolineata"	"Strix_occidentalis"	"Strix_ocellata"	"Strix_rufipes"	"Strix_seloputo"	"Strix_varia"	"Strix_woodfordii"	"Surnia_ulula"	"Terathopius_ecaudatus"	"Tyto_alba"	"Tyto_glaucops"	"Tyto_novaehollandiae"	"Tyto_tenebricosa"	"Uroglaux_dimorpha"	"average_predation_richness"	"total_predation_richness"	"latitude_med"	"latitude_mean"	"matching_name"
"188"	"Anthoscopus_musculus"	"Anthoscopus_musculus"	"Anthoscopus_musculus"	3736	7	0	3189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3392	0	0	312	3678	0	624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.48688436830835	7	4.183316446	4.24117690744572	"Anthoscopus_musculus"
"189"	"Anthracoceros_albirostris"	"Anthracoceros_albirostris"	"Anthracoceros_albirostris"	14962	758.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	637	5853	2946	0	4084	4020	0	1518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4971	0	0	9272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	934	0	5373	4694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4000133671969	13	16.349984086	13.6201794742639	"Anthracoceros_albirostris"
"190"	"Anthracoceros_malayanus"	"Anthracoceros_malayanus"	"Anthracoceros_malayanus"	3082	1050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.08533419857236	3	0.349982806005	0.724739487506575	"Anthracoceros_malayanus"
"191"	"Anthracothorax_dominicus"	"Anthracothorax_dominicus"	"Anthracothorax_dominicus"	317	6.2	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98738170347003	2	18.849984286	18.8662829203218	"Anthracothorax_dominicus"
"192"	"Anthracothorax_mango"	"Anthracothorax_mango"	"Anthracothorax_mango"	56	8.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	18.183317566	18.1535556588571	"Anthracothorax_mango"
"193"	"Anthracothorax_nigricollis"	"Anthracothorax_nigricollis"	"Anthracothorax_nigricollis"	30700	6.2	0	0	0	0	0	8989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18664	0	0	0	0	0	55	29848	0	0	0	0	219	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6128990228013	7	-8.816684594	-8.97087570296912	"Anthracothorax_nigricollis"
"194"	"Anthracothorax_prevostii"	"Anthracothorax_prevostii"	"Anthracothorax_prevostii"	2948	6.2	0	0	0	0	0	2533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2924	0	0	0	0	0	0	2798	0	0	0	0	20	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.97014925373134	6	16.183317406	15.760997155118	"Anthracothorax_prevostii"
"195"	"Anthracothorax_viridigula"	"Anthracothorax_viridigula"	"Anthracothorax_viridigula"	2128	6.2	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	687	0	0	0	0	0	0	2121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.22697368421053	4	-0.316683913995	1.71903053457193	"Anthracothorax_viridigula"
"196"	"Anthracothorax_viridis"	"Anthracothorax_viridis"	"Anthracothorax_viridis"	45	7	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	18.183317566	18.238873126	"Anthracothorax_viridis"
"197"	"Anthreptes_aurantium"	"Anthreptes_aurantium"	"Anthreptes_aurantius"	5377	12.5	0	865	0	0	4083	0	0	0	0	0	4788	0	0	0	0	0	0	0	0	0	0	0	52	0	0	197	0	0	0	38	0	0	5189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2832	4739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4929	0	0	0	0	0	0	0	0	0	0	0	0	2693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	691	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5377	0	0	0	180	0	1610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487	0	0	0	0	0	0	0	1161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.52594383485215	19	1.016649526	0.563298798517309	"Anthreptes_aurantium"
"198"	"Anthreptes_collaris"	"Anthreptes_collaris"	"Anthodiaeta_collaris"	28755	7.85	0	20423	0	0	6489	0	0	0	0	0	10238	0	0	0	0	0	0	0	0	0	0	0	14721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9632	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26958	0	0	9269	4840	0	5808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.94286211093723	12	-3.650017514	-4.76086788977428	"Anthreptes_collaris"
"199"	"Anthreptes_longuemarei"	"Anthreptes_longuemarei"	"Anthreptes_longuemarei"	16799	11.9	0	15152	0	0	1115	0	0	0	0	0	4414	0	0	0	0	0	0	0	0	0	0	0	8617	955	0	10413	0	0	0	356	0	0	4654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	11273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	9543	0	6478	0	593	0	0	0	0	0	0	0	0	0	0	0	0	0	10976	0	14751	0	0	0	0	0	0	6019	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15426	0	0	5622	2942	0	7672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7250	0	0	0	0	0	0	0	8590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.83421632240014	25	-4.316684234	-2.15429344251955	"Anthreptes_longuemarei"
"200"	"Anthreptes_metallicus"	"Anthreptes_metallicus"	"Anthodiaeta_metallica"	4352	7.25	0	1994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	713	0	0	0	2588	0	1436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62821691176471	5	15.516650686	15.8791660336287	"Anthreptes_metallicus"
"201"	"Anthreptes_platurus"	"Anthreptes_platurus"	"Anthodiaeta_platura"	9800	6.35	0	7775	0	0	0	0	0	0	0	0	586	0	0	0	0	0	0	0	0	0	0	0	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6273	0	0	0	4516	0	8195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.83765306122449	6	13.349983846	12.8802729240694	"Anthreptes_platurus"
